"","chip","num.on.pwm","piqauc","dgfauc","centipedeauc","piqppv100","piqppv500","piqppv1000","dgfppv100","dgfppv500","dgfppv1000","centipedeppv100","centipedeppv500","centipedeppv1000","piqsens1000","piqsens5000","piqsens10000","dgfsens1000","dgfsens5000","dgfsens10000","centipedesens1000","centipedesens5000","centipedesens10000"
"55","Pu1Pcr1xPkRep2",107,0.912291131655538,0.826841294298921,0.841876819037836,0.24,0.178,0.151,0.09,0.106,0.136,0.24,0.194,0.162,0.008,0.009,0.0078,0.007,0.009,0.0076,0.008,0.0096,0.0081
"56","Rad21V0416102PkRep1",1348,0.941897919329861,0.703558849916452,0.881505087116797,0.94,0.888,0.836,0.4,0.5,0.524,0.92,0.64,0.387,0.075,0.0718,0.0612,0.08,0.0684,0.0565,0.059,0.0414,0.0319
"57","Rad21V0416102PkRep2",1441,0.920576289588058,0.693158914464867,0.877507740239723,0.95,0.886,0.843,0.43,0.528,0.553,0.92,0.702,0.454,0.073,0.0632,0.0588,0.077,0.0626,0.0557,0.062,0.0422,0.0334
"58","Sin3ak20V0416101PkRep1",122,0.952271865322347,0.724764636026059,0.932488518078436,0.08,0.062,0.058,0.02,0.022,0.018,0.08,0.068,0.059,0.058,NA,NA,0.047,NA,NA,0.054,NA,NA
"59","Sin3ak20V0416101PkRep2",369,0.947200835049169,0.897677994208814,0.866484460611184,0.75,0.564,0.52,0.41,0.468,0.51,0.76,0.652,0.557,0.048,0.0504,0.0416,0.052,0.0536,0.0444,0.054,0.053,0.0436
"60","Six5Pcr1xPkRep1",543,0.982521656376709,0.887550359328217,0.889112304880158,0.98,0.896,0.908,0.79,0.838,0.867,0.98,0.958,0.882,0.203,0.1422,0.0845,0.211,0.1394,0.0817,0.208,0.1378,0.0804
"61","Six5Pcr1xPkRep2",611,0.985364606152164,0.874057256986009,0.877947068857916,1,0.934,0.954,0.89,0.9,0.92,1,0.99,0.927,0.38,0.1688,0.0908,0.391,0.1646,0.0872,0.38,0.1606,0.0853
"62","Six5V0416101PkRep1",117,0.993178712647539,0.917350921959103,0.993265683953068,0.61,0.396,0.209,0.12,0.132,0.237,0.61,0.378,0.237,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Six5V0416101PkRep2",650,0.988922431078446,0.852878768780125,0.872035332059102,1,0.936,0.959,0.9,0.918,0.933,1,0.994,0.933,0.617,NA,NA,0.62,NA,NA,0.597,NA,NA
"64","Sp1Pcr1xPkRep1",210,0.98998523275941,0.827507028651754,0.893297135865335,0.52,0.284,0.2,0.02,0.018,0.016,0.47,0.258,0.185,0.176,NA,NA,0.144,NA,NA,0.145,NA,NA
"65","Sp1Pcr1xPkRep2",261,0.933143781980517,0.714390882228091,0.913672611273571,0.44,0.276,0.219,0.04,0.042,0.033,0.44,0.274,0.211,0.078,0.06,NA,0.051,0.042,NA,0.073,0.056,NA
